,zcta,census_tract,GEOID,E_TOTPOP,LOCATION,ct_avg_new_positives,ct_avg_new_positives_percent,ct_first_positives,old_index,numpy_index,t_station,sub_output,sub_input,sub_input_prop,sub_output_prop,geometry,NEIGHBORS,random_R0
376,11209,5602,36047005602,1606,"Census Tract 56.02, Kings County, New York",31.19047619047618,43.72711381891349,209.0,464,464,,0.0,0.0,0.0,0.0,"POLYGON ((-74.03706799999999 40.613819, -74.03457899999999 40.61486, -74.03263699999999 40.61401, -74.034871 40.611366, -74.03638844894151 40.6099169887477, -74.0392655790145 40.6126282788836, -74.03706799999999 40.613819))","36047016200, 36047005601",2.992154608464965
377,11209,5800,36047005800,3092,"Census Tract 58, Kings County, New York",31.19047619047618,43.72711381891349,209.0,465,465,,0.0,0.0,0.0,0.0,"POLYGON ((-74.035437 40.61995599999999, -74.034886 40.62132, -74.032195 40.620688, -74.02956399999999 40.619833, -74.028205 40.619173, -74.029302 40.61789599999999, -74.030485 40.616518, -74.03331299999999 40.617945, -74.03599 40.618596, -74.035437 40.61995599999999))","36047016000, 36047005400, 36047006000, 36047005201, 36047005202, 36047016200",3.4830957570807897
378,11231,5900,36047005900,1253,"Census Tract 59, Kings County, New York",9.80952380952381,46.2886334416993,127.0,466,466,,0.0,0.0,0.0,0.0,"POLYGON ((-74.0117 40.679365, -74.010451 40.680431, -74.00920000000001 40.681496, -74.006919 40.683451, -74.00671299999999 40.683615, -74.00662299999999 40.683658, -74.005819 40.683656, -74.00606499999999 40.683202, -74.00447299999999 40.680993, -74.00343099999999 40.679708, -74.00334599999999 40.67963, -74.003018 40.679148, -74.00225499999999 40.678205, -74.00153899999999 40.677268, -74.000699 40.675571, -74.00121299999999 40.67587, -74.00135399999999 40.675791, -74.00319399999999 40.676271, -74.00350299999999 40.675631, -74.00476399999999 40.67671, -74.006491 40.677194, -74.006298 40.677604, -74.008302 40.67897, -74.00954399999999 40.677898, -74.011055 40.678926, -74.0117 40.679365))","36047005100, 36047005300, 36047006500, 36047006300, 36047008500",2.5095389858653476
379,11209,6000,36047006000,3054,"Census Tract 60, Kings County, New York",31.19047619047618,43.72711381891349,209.0,467,467,86 ST,879.4285714,1002.428571,0.0016608598498789701,0.001667252645530228,"POLYGON ((-74.03460099999999 40.622001, -74.034323 40.62268299999999, -74.034043 40.623363, -74.033742 40.624099, -74.02835 40.622799, -74.028924 40.621404, -74.02956399999999 40.619833, -74.032195 40.620688, -74.034886 40.62132, -74.03460099999999 40.622001))","36047006200, 36047013800, 36047016000, 36047005000, 36047005201, 36047005800",2.688713578894626
380,11209,6200,36047006200,2700,"Census Tract 62, Kings County, New York",31.19047619047618,43.72711381891349,209.0,468,468,,0.0,0.0,0.0,0.0,"POLYGON ((-74.033389 40.624968, -74.033108 40.625647, -74.032555 40.62701, -74.029871 40.626374, -74.027153 40.625727, -74.027734 40.624301, -74.027991 40.623683, -74.02835 40.622799, -74.033742 40.624099, -74.033389 40.624968))","36047013800, 36047016000, 36047006000, 36047005000, 36047004600",3.5867400870613975
381,11231,6300,36047006300,1922,"Census Tract 63, Kings County, New York",9.80952380952381,46.2886334416993,127.0,469,469,,0.0,0.0,0.0,0.0,"POLYGON ((-74.00334599999999 40.67963, -74.00195699999999 40.682593, -74.001609 40.683235, -74.00128099999999 40.683909, -74.000642 40.685247, -73.99908099999999 40.684816, -73.999725 40.683473, -74.00004799999999 40.682803, -74.000371 40.682133, -74.000693 40.681463, -74.001122 40.680569, -74.001516 40.679753, -74.00190499999999 40.678935, -74.00225499999999 40.678205, -74.003018 40.679148, -74.00334599999999 40.67963))","36047005100, 36047006500, 36047004700, 36047005900, 36047006700, 36047004900",3.086829916207675
382,11209,6400,36047006400,3062,"Census Tract 64, Kings County, New York",31.19047619047618,43.72711381891349,209.0,470,470,,0.0,0.0,0.0,0.0,"POLYGON ((-74.03195699999999 40.628471, -74.03135999999999 40.629931, -74.03076399999999 40.631392, -74.025361 40.630109, -74.025958 40.628648, -74.026263 40.62792, -74.026561 40.627187, -74.026856 40.626459, -74.03225599999999 40.627741, -74.03195699999999 40.628471))","36047013800, 36047006600, 36047013400, 36047004400, 36047013600, 36047004600",3.125679871927998
383,11231,6500,36047006500,5842,"Census Tract 65, Kings County, New York",9.80952380952381,46.2886334416993,127.0,471,471,,0.0,0.0,0.0,0.0,"POLYGON ((-74.00190499999999 40.678935, -74.001516 40.679753, -74.001122 40.680569, -74.000693 40.681463, -74.000371 40.682133, -74.00004799999999 40.682803, -73.99620899999999 40.681724, -73.996527 40.68106, -73.996887 40.680315, -73.997283 40.679502, -73.99767199999999 40.67868199999999, -73.998068 40.677866, -73.998728 40.676489, -73.999352 40.6752, -73.99992399999999 40.674004, -74.00121299999999 40.67587, -74.000699 40.675571, -74.00153899999999 40.677268, -74.00225499999999 40.678205, -74.00190499999999 40.678935))","36047005300, 36047007500, 36047007700, 36047005900, 36047006300, 36047006700",3.8070327168530005
384,11209,6600,36047006600,3645,"Census Tract 66, Kings County, New York",31.19047619047618,43.72711381891349,209.0,472,472,,0.0,0.0,0.0,0.0,"POLYGON ((-74.030473 40.632099, -74.02991299999999 40.633474, -74.02963299999999 40.634153, -74.026951 40.633516, -74.026039 40.633303, -74.024238 40.632859, -74.02452 40.632167, -74.025071 40.630814, -74.025361 40.630109, -74.03076399999999 40.631392, -74.030473 40.632099))","36047013400, 36047006800, 36047004400, 36047013000, 36047013600, 36047003600, 36047006400",2.421541504733399
385,11231,6700,36047006700,3894,"Census Tract 67, Kings County, New York",9.80952380952381,46.2886334416993,127.0,473,473,,0.0,0.0,0.0,0.0,"POLYGON ((-73.999725 40.683473, -73.99908099999999 40.684816, -73.998189 40.6867, -73.996358 40.686096, -73.99440799999999 40.685453, -73.994901 40.68443, -73.995232 40.683741, -73.995558 40.683069, -73.995881 40.682395, -73.99620899999999 40.681724, -74.00004799999999 40.682803, -73.999725 40.683473))","36047006500, 36047006900, 36047007500, 36047006300, 36047004900, 36047004500",2.4777216140501555
386,11209,6800,36047006800,4932,"Census Tract 68, Kings County, New York",35.738095238095234,49.55988214141461,473.0,474,474,BAY RIDGE AV,648.1428571,604.2857142999999,0.001001202389647675,0.0012287727830598153,"POLYGON ((-74.02935699999999 40.634837, -74.029134 40.635373, -74.02865799999999 40.636546, -74.028279 40.637468, -74.025666 40.636667, -74.02547199999999 40.63714, -74.02291 40.636108, -74.023235 40.635318, -74.023518 40.634616, -74.023884 40.633724, -74.024238 40.632859, -74.026039 40.633303, -74.026951 40.633516, -74.02963299999999 40.634153, -74.02935699999999 40.634837))","36047006600, 36047003000, 36047013000, 36047003600, 36047007000, 36047012600",3.9184755161890914
387,11201,6900,36047006900,3575,"Census Tract 69, Kings County, New York",11.571428571428573,41.44601281740656,331.0,476,476,BERGEN ST,466.7142857,561.7142857000001,0.0009306685096693789,0.0008848139039891962,"POLYGON ((-73.99440799999999 40.685453, -73.994091 40.686114, -73.99392999999999 40.686453, -73.99360399999999 40.687127, -73.99333799999999 40.687679, -73.993269 40.687825, -73.99046799999999 40.686728, -73.98828899999999 40.685869, -73.98871199999999 40.685224, -73.98912899999999 40.68459, -73.98955599999999 40.68395599999999, -73.99042399999999 40.682694, -73.99262299999999 40.683544, -73.994901 40.68443, -73.99440799999999 40.685453))","36047007100, 36047004300, 36047004100, 36047007500, 36047006700, 36047004500",3.181573873194311
388,11220,7000,36047007000,2629,"Census Tract 70, Kings County, New York",40.28571428571429,55.392650463915736,264.0,478,478,,0.0,0.0,0.0,0.0,"POLYGON ((-74.028004 40.638145, -74.027624 40.638805, -74.026861 40.639536, -74.024754 40.638121, -74.023545 40.639314, -74.023105 40.639996, -74.021165 40.641417, -74.02177399999999 40.64041, -74.02108699999999 40.638262, -74.02135899999999 40.637967, -74.022626 40.636799, -74.02291 40.636108, -74.02547199999999 40.63714, -74.025666 40.636667, -74.028279 40.637468, -74.028004 40.638145))","36047012200, 36047002200, 36047003000, 36047006800, 36047007200, 36047012600",3.5817965821643636
389,11217,7100,36047007100,4890,"Census Tract 71, Kings County, New York",14.14285714285714,47.459568332175074,130.0,479,479,,0.0,0.0,0.0,0.0,"POLYGON ((-73.98955599999999 40.68395599999999, -73.98912899999999 40.68459, -73.98871199999999 40.685224, -73.98828899999999 40.685869, -73.986119 40.685024, -73.983953 40.684182, -73.984375 40.683543, -73.985231 40.68228, -73.986104 40.681009, -73.987668 40.680818, -73.98827199999999 40.681863, -73.99042399999999 40.682694, -73.98955599999999 40.68395599999999))","36047004300, 36047012700, 36047004100, 36047006900, 36047007500, 36047003900, 36047011900",2.8910358307628017
