,STATION,X,Y,LINE
111,CHURCH AVE,-73.96288246192114,4.0,B-Q
130,CHURCH AVE,-73.94945514035334,4.0,5-Feb
109,CHURCH AVE,-73.97972116229084,4.0,F-G
415,CITY HALL,-74.00698581780337,4.0,R-W
445,CLARK ST,-73.99308599821961,4.0,3-Feb
69,CLASSON AVE,-73.95999000137212,4.0,G
214,CLEVELAND ST,-73.8851940021643,4.0,J
447,CLINTON - WASHINGTON AVES,-73.96583799857275,4.0,A-C
118,CLINTON - WASHINGTON AVES,-73.9667959986695,4.0,G
468,CONEY ISLAND - STILLWELL AV,-73.9812359981396,4.0,D-F-N-Q
460,CORTELYOU RD,-73.96379005505493,4.0,Q
428,CORTLANDT ST,-74.01113196473266,4.0,R-W
425,CORTLANDT ST,-74.01218800112292,4.0,1
92,COURT SQ,-73.94526400039679,4.0,7-7 Express
65,COURT SQ - 23RD ST,-73.94605470266329,4.0,E-M
377,COURT ST,-73.99181830901125,4.0,N-R
226,CRESCENT ST,-73.87392925215778,4.0,J-Z
134,CROWN HTS - UTICA AVE,-73.93293256081851,4.0,4-Mar
254,CYPRESS AVE,-73.91404199994753,4.0,6
227,CYPRESS HILLS,-73.87332199882995,4.0,J
14,DEKALB AVE,-73.98177094440949,4.0,B-D-N-Q-R
234,DEKALB AVE,-73.91823200219723,4.0,L
10,DELANCEY ST - ESSEX ST,-73.98740940202974,4.0,J-M-Z
369,DELANCEY ST - ESSEX ST,-73.98807806807719,4.0,F
68,DITMAS AVE,-73.97817199965161,4.0,F
285,DYCKMAN ST,-73.92553600006474,4.0,1
430,DYCKMAN ST,-73.92727099960726,4.0,A
219,E 105TH ST,-73.89954769388724,4.0,L
257,E 143RD ST - ST MARY'S ST,-73.90765699936489,4.0,6
49,E 149TH ST,-73.90409799875945,4.0,6
284,E 180TH ST,-73.87334609510884,4.0,5-Feb
368,EAST BROADWAY,-73.99017700122197,4.0,F
277,EASTCHESTER - DYRE AVE,-73.8308340021742,4.0,5
128,EASTERN PKWY - BKLYN MUSEUM,-73.96422203748425,4.0,2/3/04
248,ELDER AVE,-73.87915899874777,4.0,6
36,ELMHURST AVE,-73.8820347465864,4.0,E-M-R
458,EUCLID AVE,-73.87210600099675,4.0,A-C-S
54,FAR ROCKAWAY - MOTT AVE,-73.75540499924732,4.0,A
24,FLUSHING - MAIN ST,-73.83003000262508,4.0,7-7 Express
371,FLUSHING AVE,-73.94137734838365,4.0,J-M
363,FLUSHING AVE,-73.9502340010257,4.0,G
407,FORDHAM RD,-73.90103399921699,4.0,4
262,FORDHAM RD,-73.89774900102401,4.0,B-D
448,FOREST AVE,-73.90307500005954,4.0,M
244,FOREST HILLS - 71ST AV,-73.84451672012669,4.0,E-F-M-R
41,FRANKLIN AVE,-73.9580997367769,4.0,2-3-4-5
446,FRANKLIN AVE,-73.95684800014614,4.0,A-C
287,FRANKLIN AVE - FULTON ST,-73.95582700110425,4.0,S
463,FRANKLIN ST,-74.00688600277107,4.0,2-Jan
17,FREEMAN ST,-73.89175225349464,4.0,5-Feb
422,FRESH POND RD,-73.8958980017196,4.0,M
108,FT HAMILTON PKWY,-73.97577599917474,4.0,F-G
391,FT HAMILTON PKWY,-73.9942022375285,4.0,D
311,FT HAMILTON PKWY,-74.00535100046275,4.0,N
401,FULTON ST,-74.00657099970202,4.0,3-Feb
412,FULTON ST,-74.00793800110387,4.0,J-Z
426,FULTON ST,-74.00950899856461,4.0,5-Apr
359,FULTON ST,-74.00762309323994,4.0,A-C
117,FULTON ST,-73.97537499833149,4.0,G
300,GATES AVE,-73.92215600150752,4.0,J-Z
149,GRAHAM AVE,-73.94394399869037,4.0,L
114,GRAND ARMY PLAZA,-73.9709563319228,4.0,2/3/04
67,GRAND AVE - NEWTOWN,-73.87722085669182,4.0,E-M-R
30,GRAND CENTRAL - 42ND ST,-73.9767132992584,4.0,4-5-6-6 Express
80,GRAND CENTRAL - 42ND ST,-73.97918899989101,4.0,S
203,GRAND CENTRAL - 42ND ST,-73.97604100111508,4.0,7-7 Express
148,GRAND ST,-73.94049699874644,4.0,L
431,GRAND ST,-73.99375299913589,4.0,B-D
191,GRANT AVE,-73.86504999877702,4.0,A-S
335,GRAVESEND - 86TH ST,-73.97818899936274,4.0,N
137,GREENPOINT AVE,-73.95442500146235,4.0,G
39,GUN HILL RD,-73.86613410538703,4.0,5-Feb
283,GUN HILL RD,-73.84638400151765,4.0,5
210,HALSEY ST,-73.90393400118631,4.0,L
74,HALSEY ST,-73.9166388842194,4.0,J
260,HARLEM - 148 ST,-73.93647000005559,4.0,3
365,HERALD SQ - 34TH ST,-73.98777189072918,4.0,B-D-F-M
144,HERALD SQ - 34TH ST,-73.9879368338264,4.0,N-Q-R-W
139,HEWES ST,-73.95348800038457,4.0,J-M
452,HIGH ST,-73.99053100065458,4.0,A-C
96,HOUSTON ST,-74.00536700180581,4.0,2-Jan
241,HOWARD BEACH - JFK AIRPORT,-73.83030100071032,4.0,A
366,HOYT - SCHERMERHORN STS,-73.98503624034139,4.0,A-C-G
404,HOYT ST,-73.98506379575646,4.0,3-Feb
94,HUNTERS POINT AVE,-73.9489160009391,4.0,7-7 Express
88,HUNTS POINT AVE,-73.89054900017344,4.0,6-6 Express
